"part_id","hh_id","part_age","part_gender"
"F9_600780","HHF9_600780","40-49","M"
"F9_600782","HHF9_600782","40-49","F"
"F9_600783","HHF9_600783","60-69","M"
"F9_600786","HHF9_600786","5-11","F"
"F9_600787","HHF9_600787","30-39","F"
"F9_600789","HHF9_600789","30-39","F"
"F9_600792","HHF9_600792","50-59","F"
"F9_600798","HHF9_600798","50-59","F"
"A8_10255","HHA8_10255","60-69","M"
"F9_600803","HHF9_600803","60-69","M"
"F9_600806","HHF9_600806","60-69","M"
"F9_600814","HHF9_600814","12-17","M"
"F9_600816","HHF9_600816","18-29","M"
"F9_600820","HHF9_600820","40-49","F"
"F9_600822","HHF9_600822","40-49","M"
"F9_600827","HHF9_600827","18-29","F"
"F9_600828","HHF9_600828","60-69","M"
"F9_600830","HHF9_600830","60-69","M"
"F9_600832","HHF9_600832","60-69","M"
"A8_10256","HHA8_10256","50-59","M"
"F9_600834","HHF9_600834","40-49","M"
"F9_600839","HHF9_600839","60-69","M"
"F9_600845","HHF9_600845","50-59","F"
"F9_600847","HHF9_600847","60-69","M"
"F9_600852","HHF9_600852","50-59","M"
"F9_600863","HHF9_600863","50-59","M"
"F9_600866","HHF9_600866","30-39","F"
"F9_600867","HHF9_600867","12-17","F"
"F9_600869","HHF9_600869","12-17","F"
"F9_600870","HHF9_600870","50-59","F"
"A8_10257","HHA8_10257","30-39","M"
"F9_600871","HHF9_600871","40-49","F"
"F9_600874","HHF9_600874","50-59","M"
"F9_600878","HHF9_600878","50-59","F"
"F9_600880","HHF9_600880","70-120","M"
"F9_600881","HHF9_600881","50-59","F"
"F9_600883","HHF9_600883","30-39","M"
"F9_600885","HHF9_600885","30-39","M"
"F9_600890","HHF9_600890","70-120","M"
"F9_600891","HHF9_600891","0-4","F"
"F9_600894","HHF9_600894","60-69","F"
"A8_10258","HHA8_10258","50-59","M"
"F9_600899","HHF9_600899","60-69","M"
"F9_600910","HHF9_600910","30-39","M"
"F9_600915","HHF9_600915","12-17","M"
"F9_600916","HHF9_600916","18-29","F"
"F9_600917","HHF9_600917","50-59","M"
"F9_600918","HHF9_600918","40-49","M"
"F9_600919","HHF9_600919","50-59","M"
"F9_600921","HHF9_600921","50-59","M"
"F9_600926","HHF9_600926","50-59","F"
"F9_600927","HHF9_600927","70-120","F"
